fotmob_player_id,player_name,team_name,competition_name,season_name,reason
1061133,Shuto Abe,RWDM Brussels,Belgian Pro League,2023/2024,missing_heatmap_session
160599,Toby Alderweireld,Royal Antwerp,Belgian Pro League,2023/2024,missing_heatmap_session
1023887,Tsuyoshi Watanabe,Gent,Belgian Pro League,2023/2024,missing_heatmap_session
161937,Victor Pálsson,Eupen,Belgian Pro League,2023/2024,missing_heatmap_session
1053689,Youssouph Badji,Sporting Charleroi,Belgian Pro League,2023/2024,missing_heatmap_session
1287871,Zakaria El Ouahdi,RWDM Brussels,Belgian Pro League,2023/2024,missing_heatmap_session
1119643,Jan Thielmann,1. FC Köln,Bundesliga,2023/2024,sportsapi_id_unresolved
278831,John Anthony Brooks,Hoffenheim,Bundesliga,2023/2024,sportsapi_id_unresolved
613714,Jordan Pefok,Borussia Mönchengladbach,Bundesliga,2023/2024,sportsapi_id_unresolved
1040889,Junior Dina Ebimbe,Eintracht Frankfurt,Bundesliga,2023/2024,sportsapi_id_unresolved
959404,Silas Katompa Mvumpa,VfB Stuttgart,Bundesliga,2023/2024,sportsapi_id_unresolved
1097467,Dirk Proper,NEC Nijmegen,Eredivisie,2023/2024,sportsapi_id_unresolved
843767,Kornelius Hansen,Almere City FC,Eredivisie,2023/2024,sportsapi_id_unresolved
839476,Othman Boussaid,FC Utrecht,Eredivisie,2023/2024,sportsapi_id_unresolved
874482,Roberto González,NEC Nijmegen,Eredivisie,2023/2024,sportsapi_id_unresolved
774237,Willum Willumsson,Go Ahead Eagles,Eredivisie,2023/2024,sportsapi_id_unresolved
210282,Anthony Lozano,Getafe,LaLiga,2023/2024,sportsapi_id_unresolved
891059,Christopher Ramos,Cadiz,LaLiga,2023/2024,sportsapi_id_unresolved
616531,Javi Muñoz,Las Palmas,LaLiga,2023/2024,sportsapi_id_unresolved
1094778,Raúl García,Osasuna,LaLiga,2023/2024,sportsapi_id_unresolved
950967,Cheikh Sabaly,Metz,Ligue 1,2023/2024,sportsapi_id_unresolved
1138769,David Da Costa,Lens,Ligue 1,2023/2024,heatmap_request_failed
1243913,Dion Sahi,Strasbourg,Ligue 1,2023/2024,sportsapi_id_unresolved
1092903,Muhammed Cham,Clermont Foot,Ligue 1,2023/2024,heatmap_request_failed
262550,Bobby Reid,Fulham,Premier League,2023/2024,sportsapi_id_unresolved
188058,Daniel Burn,Newcastle United,Premier League,2023/2024,sportsapi_id_unresolved
795179,Gabriel,Arsenal,Premier League,2023/2024,sportsapi_id_unresolved
802245,Jacob Brown,Luton Town,Premier League,2023/2024,sportsapi_id_unresolved
976506,Mykhaylo Mudryk,Chelsea,Premier League,2023/2024,sportsapi_id_unresolved
919919,André,Vitoria de Guimaraes,Primeira Liga,2023/2024,heatmap_request_failed
783619,Elves,Farense,Primeira Liga,2023/2024,heatmap_request_failed
694773,Jo,Chaves,Primeira Liga,2023/2024,sportsapi_id_unresolved
1116481,Madson,Moreirense,Primeira Liga,2023/2024,sportsapi_id_unresolved
875133,Pote,Sporting CP,Primeira Liga,2023/2024,sportsapi_id_unresolved
526450,Emmanuel Quartsin Gyasi,Empoli,Serie A,2023/2024,sportsapi_id_unresolved
1124533,Kilian Sildillia,Freiburg,UEFA Europa League,2023/2024,sportsapi_id_unresolved
875133,Pote,Sporting CP,UEFA Europa League,2023/2024,sportsapi_id_unresolved
1431105,Bilal Bafdili,KV Mechelen,Belgian Pro League,2024/2025,missing_heatmap_session
445873,Brandon Mechele,Club Brugge,Belgian Pro League,2024/2025,missing_heatmap_session
1452385,Christopher Bonsu Baah,Genk,Belgian Pro League,2024/2025,missing_heatmap_session
