player_id,player_name,season_name,league_id,league_name,team_id,team_name,position,position_group,goals,xg,xgot,minutes_played,dribbles_succeeded,dribbles_success_rate,dispossessed,fouls_won,penalties_awarded,duels_won,duels_won_percentage,aerial_duels_won,aerial_duels_won_percentage,in_box_goals,in_box_xg,in_box_xgot,in_box_shots,out_box_goals,out_box_xg,out_box_xgot,out_box_shots
1429912,Michael Kayode,2025/2026,47,Premier League,9937,,Right Back,,1.0,1.18,1.43,3264.0,55.0,51.4,31.0,50.0,0.0,213.0,57.7,41.0,60.3,1.0,1.1386838015168905,1.2402027174830446,8.0,0.0,0.0807218104600906,0.0,1.0
1070052,Amad Diallo,2025/2026,47,Premier League,10260,,Right Winger,,2.0,5.57,4.19,2344.0,39.0,49.4,25.0,38.0,1.0,128.0,50.4,13.0,40.6,1.0,4.910923471674323,2.912565605714918,38.0,1.0,0.5920607075095177,1.306265752762556,15.0
688300,Samuel Chukwueze,2025/2026,47,Premier League,9879,,Left Winger,,3.0,2.07,3.08,1075.0,18.0,46.2,15.0,12.0,0.0,43.0,43.0,7.0,38.9,3.0,1.6575421504676346,2.603885963559152,15.0,0.0,0.4151508938521141,0.4809656776487825,10.0
862608,Kaoru Mitoma,2025/2026,47,Premier League,10204,,Left Winger,,3.0,4.06,3.62,1721.0,28.0,44.4,23.0,21.0,0.0,82.0,40.0,15.0,41.7,2.0,3.4893698412925,3.281865060329439,24.0,1.0,0.500969205051661,0.334488578140736,8.0
823825,Randal Kolo Muani,2025/2026,47,Premier League,8586,,Striker,F,1.0,2.18,1.89,1670.0,28.0,42.4,37.0,17.0,0.0,106.0,37.6,32.0,39.5,1.0,2.121071975678205,1.889689981937408,17.0,0.0,0.082753935828805,0.0,3.0
215384,Ross Barkley,2025/2026,47,Premier League,10252,,Attacking Midfielder,M,3.0,1.51,1.86,852.0,13.0,65.0,16.0,9.0,0.0,50.0,47.2,14.0,46.7,3.0,1.2753668893128633,1.5036358367651697,9.0,0.0,0.24944681767374285,0.3544361181557178,9.0
1174672,João Gomes,2025/2026,47,Premier League,8602,,Central Midfielder,M,1.0,1.28,2.37,2833.0,43.0,64.2,55.0,49.0,0.0,226.0,50.4,27.0,50.0,1.0,0.686575368046761,1.1660892535001042,9.0,0.0,0.455456105992198,1.007088914513588,10.0
1386775,Lucas Bergvall,2025/2026,47,Premier League,8586,,Central Midfielder,M,1.0,1.4,0.67,966.0,15.0,62.5,7.0,7.0,0.0,49.0,43.8,5.0,26.3,1.0,1.265122182667255,0.656683698296547,10.0,0.0,0.0413132943212986,0.0128734754398465,2.0
818975,Eberechi Eze,2025/2026,47,Premier League,9826,,Attacking Midfielder,M,7.0,5.05,6.84,1900.0,29.0,59.2,24.0,40.0,0.0,98.0,52.1,10.0,28.6,6.0,4.274866484105589,5.915540508925916,34.0,1.0,0.744021135382354,0.9231879003345973,29.0
523825,Jarrod Bowen,2025/2026,47,Premier League,8654,,Right Winger,,9.0,7.26,7.14,3405.0,53.0,44.9,77.0,49.0,0.0,185.0,43.3,33.0,36.7,7.0,6.4325768389195215,5.932010412216188,56.0,2.0,1.0431554801762108,1.3273171391338114,23.0
956925,Georginio Rutter,2025/2026,47,Premier League,10204,,Attacking Midfielder,M,3.0,3.02,3.34,1790.0,28.0,43.1,59.0,34.0,1.0,113.0,39.9,19.0,38.0,3.0,2.4426243677735315,2.40932784974575,27.0,0.0,0.5096731372177601,0.9336980292573567,15.0
1173787,Xavi Simons,2025/2026,47,Premier League,8586,,Attacking Midfielder,M,2.0,3.08,3.38,1757.0,28.0,42.4,30.0,44.0,0.0,118.0,48.2,12.0,32.4,1.0,2.065878547728061,0.9925567507743829,18.0,1.0,1.0696601308882228,2.085746761411429,24.0
1087966,Evann Guessand,2025/2026,47,Premier League,10252,,Right Winger,,1.0,1.56,1.62,916.0,14.0,35.9,28.0,20.0,0.0,69.0,44.5,11.0,45.8,1.0,1.5598433231934896,1.6168860569596286,11.0,0.0,0.0,0.0,0.0
1089691,Elliot Anderson,2025/2026,47,Premier League,10203,,Defensive Midfielder,,4.0,2.9,2.41,3334.0,50.0,54.3,62.0,80.0,0.0,297.0,54.8,66.0,58.9,3.0,2.071563090702145,2.047487281262874,17.0,1.0,0.863858252763748,0.3783185407519338,27.0
744494,Gabriel Gudmundsson,2025/2026,47,Premier League,8463,,Left Wing-Back,,0.0,1.1,0.12,2637.0,39.0,52.7,26.0,56.0,0.0,178.0,53.6,18.0,36.0,0.0,0.9678886504843836,0.121536858379841,11.0,0.0,0.15046752244234085,0.0,7.0
1021382,João Pedro,2025/2026,47,Premier League,8455,,Striker,F,15.0,14.96,15.16,2674.0,40.0,51.3,55.0,56.0,3.0,196.0,48.3,74.0,48.1,15.0,14.30277066119015,14.693397164344788,63.0,0.0,0.49612475931644423,0.0555063895881176,10.0
839204,Omar Marmoush,2025/2026,47,Premier League,8456,,Striker,F,3.0,2.71,1.83,699.0,10.0,45.5,15.0,21.0,0.0,46.0,50.0,3.0,33.3,3.0,2.2556221839040522,1.728873327374458,21.0,0.0,0.5119104627519849,0.106505021452904,9.0
