player_id,player_name,team_name,league_id,league_name,season_name,reason
1023887,Tsuyoshi Watanabe,Kortrijk,40,Belgian Pro League,2022/2023,final_third_possessions_won_unavailable
976506,Mykhaylo Mudryk,Shakhtar Donetsk,42,Champions League,2022/2023,final_third_possessions_won_unavailable
362212,Piotr Zielinski,Napoli,42,Champions League,2022/2023,final_third_possessions_won_unavailable
385437,Serge Gnabry,Bayern München,42,Champions League,2022/2023,final_third_possessions_won_unavailable
1174708,Youssoufa Moukoko,Borussia Dortmund,42,Champions League,2022/2023,final_third_possessions_won_unavailable
450980,Timo Werner,RB Leipzig,42,Champions League,2022/2023,final_third_possessions_won_unavailable
614006,Rúben Dias,Manchester City,42,Champions League,2022/2023,final_third_possessions_won_unavailable
209405,Virgil van Dijk,Liverpool,42,Champions League,2022/2023,final_third_possessions_won_unavailable
259296,Robin Knoche,Union Berlin,73,Europa League,2022/2023,final_third_possessions_won_unavailable
961306,Nathan Collins,Brentford,47,Premier League,2023/2024,final_third_possessions_won_unavailable
201690,Lewis Dunk,Brighton & Hove Albion,47,Premier League,2023/2024,final_third_possessions_won_unavailable
423624,Patrick Mainka,FC Heidenheim,54,Bundesliga,2023/2024,final_third_possessions_won_unavailable
278831,John Anthony Brooks,Hoffenheim,54,Bundesliga,2023/2024,final_third_possessions_won_unavailable
1098607,Jake O'Brien,Lyon,53,Ligue 1,2023/2024,final_third_possessions_won_unavailable
1186553,Alexsandro Ribeiro,Lille,53,Ligue 1,2023/2024,final_third_possessions_won_unavailable
1080657,Benaissa Benamar,FC Volendam,57,Eredivisie,2023/2024,final_third_possessions_won_unavailable
278838,Thomas Lam,PEC Zwolle,57,Eredivisie,2023/2024,final_third_possessions_won_unavailable
1107547,Ravil Tagir,Westerlo,40,Belgian Pro League,2023/2024,final_third_possessions_won_unavailable
161937,Victor Pálsson,Eupen,40,Belgian Pro League,2023/2024,final_third_possessions_won_unavailable
1337911,Oscar Gloukh,Salzburg,42,Champions League,2023/2024,final_third_possessions_won_unavailable
611528,Angelo Fulgini,Lens,42,Champions League,2023/2024,final_third_possessions_won_unavailable
826089,Kyogo Furuhashi,Celtic,42,Champions League,2023/2024,final_third_possessions_won_unavailable
