fotmob_player_id,sportsapi_player_id,player_name,team_name,tournament_id,season_id,mid_third_ratio,final_third_ratio,sample_points,generated_at
1362516,1199247,Santiago Hidalgo,,34,77356,46,54,681,2026-08-07T08:27:22.683310+00:00
365672,257205,Sofiane Boufal,,34,77356,52,48,595,2026-08-07T08:27:25.059468+00:00
467486,330051,Moses Simon,,34,77356,42,58,733,2026-08-07T08:27:33.475918+00:00
1684579,1936816,Soriba Diaoune,,34,77356,34,66,128,2026-08-07T08:27:37.709942+00:00
1189856,1029018,Abdallah Sima,,34,77356,47,53,409,2026-08-07T08:27:39.995066+00:00
612699,788921,Florian Sotoca,,34,77356,48,52,348,2026-08-07T08:27:42.325127+00:00
1338390,1202024,Ernest Nuamah,,34,77356,18,82,38,2026-08-07T08:27:44.281954+00:00
1832893,2318284,Harouna Djibirin,,34,77356,44,56,172,2026-08-07T08:27:46.400850+00:00
1593857,1590918,Ibrahim Mbaye,,34,77356,39,61,727,2026-08-07T08:27:48.911517+00:00
1843478,1512333,Ange Lago,,34,77356,35,65,26,2026-08-07T08:27:52.727268+00:00
1804654,1891021,Nordan Mukiele,,34,77356,31,69,71,2026-08-07T08:27:54.888516+00:00
1092680,990743,Morgan Guilavogui,,34,77356,51,49,310,2026-08-07T08:27:57.176091+00:00
1705134,1514800,Robinio Vaz,,34,77356,38,62,170,2026-08-07T08:27:59.514527+00:00
944385,962064,Isak Jansson,,34,77356,43,57,306,2026-08-07T08:28:01.871746+00:00
541933,557166,Mama Baldé,,34,77356,39,61,337,2026-08-07T08:28:04.185942+00:00
1117069,1009372,Georges Mikautadze,,34,77356,52,48,60,2026-08-07T08:28:06.158333+00:00
1368318,1216282,Luca Koleosho,,34,77356,47,53,306,2026-08-07T08:28:08.468709+00:00
643229,367056,Jérémie Boga,,34,77356,42,58,269,2026-08-07T08:28:10.928737+00:00
863708,890329,Ignatius Ganago,,34,77356,37,63,320,2026-08-07T08:28:13.581601+00:00
853108,940328,Jean-Philippe Krasso,,34,77356,52,48,521,2026-08-07T08:28:15.360587+00:00
864154,891505,Goduine Koyalipou,,34,77356,55,45,253,2026-08-07T08:28:17.515960+00:00
1524069,1514916,Sidiki Cherif,,34,77356,64,36,466,2026-08-07T08:28:22.246935+00:00
817500,873551,Mostafa Mohamed,,34,77356,55,45,421,2026-08-07T08:28:24.703614+00:00
161291,45512,Youssef El Arabi,,34,77356,63,37,449,2026-08-07T08:28:27.081609+00:00
1650431,825088,Ally Samatta,,34,77356,50,50,579,2026-08-07T08:28:29.620677+00:00
1180718,1063235,Mohamed Ali Cho,,34,77356,51,49,778,2026-08-07T08:28:32.155108+00:00
1418073,1407484,Samuel Amo-Ameyaw,,34,77356,46,54,583,2026-08-07T08:28:36.959568+00:00
737066,839956,Erling Haaland,,17,76986,44,56,709,2026-08-07T08:28:49.745949+00:00
961995,934235,Bukayo Saka,,17,76986,37,63,1062,2026-08-07T08:28:52.398101+00:00
906937,914902,Anthony Gordon,,17,76986,41,59,839,2026-08-07T08:28:59.139694+00:00
1302005,1016907,Igor Thiago,,17,76986,50,50,1208,2026-08-07T08:29:01.688853+00:00
540088,555386,Ollie Watkins,,17,76986,40,60,879,2026-08-07T08:29:04.245371+00:00
612150,372344,Dominic Calvert-Lewin,,17,76986,47,53,962,2026-08-07T08:29:06.986649+00:00
664500,804508,Viktor Gyökeres,,17,76986,39,61,719,2026-08-07T08:29:09.490022+00:00
113836,33902,Danny Welbeck,,17,76986,48,52,780,2026-08-07T08:29:12.430096+00:00
706297,848276,Jean-Philippe Mateta,,17,76986,49,51,705,2026-08-07T08:29:17.769417+00:00
1197030,1048422,Hugo Ekitiké,,17,76986,37,63,734,2026-08-07T08:29:20.294679+00:00
654908,840217,Richarlison,,17,76986,47,53,737,2026-08-07T08:29:23.074956+00:00
923312,927083,Bryan Mbeumo,,17,76986,41,59,1151,2026-08-07T08:29:25.823424+00:00
873559,875137,Zian Flemming,,17,76986,50,50,620,2026-08-07T08:29:30.761053+00:00
1585393,192442,Raúl Jiménez,,17,76986,58,42,950,2026-08-07T08:29:33.928104+00:00
771294,845286,Ismaïla Sarr,,17,76986,48,52,818,2026-08-07T08:29:36.646098+00:00
1106563,980623,Nick Woltemade,,17,76986,51,49,697,2026-08-07T08:29:42.131427+00:00
915797,865523,Noah Okafor,,17,76986,46,54,646,2026-08-07T08:29:44.603104+00:00
760359,855647,Harvey Barnes,,17,76986,36,64,863,2026-08-07T08:29:49.208337+00:00
940446,910048,Brian Brobbey,,17,76986,45,55,610,2026-08-07T08:29:54.677122+00:00
1258092,1122603,William Osula,,17,76986,40,60,280,2026-08-07T08:29:56.381617+00:00
318615,135666,Leandro Trossard,,17,76986,38,62,917,2026-08-07T08:29:59.273843+00:00
1098096,998490,Evanilson,,17,76986,45,55,859,2026-08-07T08:30:05.806342+00:00
861197,803185,Lukas Nmecha,,17,76986,46,54,439,2026-08-07T08:30:08.486972+00:00
823658,877013,Valentín Castellanos,,17,76986,46,54,485,2026-08-07T08:30:11.951648+00:00
1609213,1899647,Mateus Mané,,17,76986,50,50,812,2026-08-07T08:30:17.452702+00:00
1203665,1135873,Alejandro Garnacho,,17,76986,33,67,641,2026-08-07T08:30:20.047719+00:00
1561249,1416535,Charalampos Kostoulas,,17,76986,42,58,293,2026-08-07T08:30:22.536549+00:00
784510,845386,Federico Chiesa,,17,76986,38,62,222,2026-08-07T08:30:25.150585+00:00
1067168,990550,Zeki Amdouni,,17,76986,56,44,34,2026-08-07T08:30:27.295390+00:00
1580704,1884145,Christantus Uche,,17,76986,44,56,138,2026-08-07T08:30:28.892479+00:00
464486,336655,Enes Ünal,,17,76986,37,63,153,2026-08-07T08:30:31.388489+00:00
1532672,1503757,Jonah Kusi-Asare,,17,76986,44,56,39,2026-08-07T08:30:33.898312+00:00
1107286,998951,Wilfried Gnonto,,17,76986,43,57,345,2026-08-07T08:30:36.580847+00:00
1050166,979232,Anthony Elanga,,17,76986,39,61,626,2026-08-07T08:30:40.785545+00:00
1423616,1155321,Stefanos Tzimas,,17,76986,42,58,67,2026-08-07T08:30:42.988481+00:00
1424875,1403061,Tyrique George,,17,76986,38,62,204,2026-08-07T08:30:47.464578+00:00
1412137,1414933,Marc Guiu,,17,76986,38,62,99,2026-08-07T08:30:49.731248+00:00
666857,805123,Yoane Wissa,,17,76986,44,56,182,2026-08-07T08:30:51.978174+00:00
1021586,922573,Gabriel Martinelli,,17,76986,36,64,489,2026-08-07T08:30:54.441059+00:00
521148,372336,Jacob Murphy,,17,76986,39,61,745,2026-08-07T08:30:57.136586+00:00
690107,823941,Alexander Isak,,17,76986,37,63,195,2026-08-07T08:30:59.302113+00:00
1288111,1048888,Mathys Tel,,17,76986,42,58,686,2026-08-07T08:31:01.993047+00:00
1077975,996985,Armando Broja,,17,76986,50,50,407,2026-08-07T08:31:04.545227+00:00
519835,361352,Adam Armstrong,,17,76986,46,54,290,2026-08-07T08:31:06.135140+00:00
620026,786186,Hwang Hee-chan,,17,76986,55,45,559,2026-08-07T08:31:08.562019+00:00
821100,876599,Jørgen Strand Larsen,,17,76986,54,46,896,2026-08-07T08:31:11.311506+00:00
1072864,987734,Tolu Arokodare,,17,76986,46,54,622,2026-08-07T08:31:14.307406+00:00
655575,809276,Jacob Bruun Larsen,,17,76986,38,62,445,2026-08-07T08:31:17.153983+00:00
637744,795066,Marcus Edwards,,17,76986,48,52,535,2026-08-07T08:31:19.505201+00:00
839204,873554,Omar Marmoush,,17,76986,42,58,329,2026-08-07T08:31:22.067515+00:00
660301,803039,Donyell Malen,,17,76986,34,66,215,2026-08-07T08:31:24.321089+00:00
887703,877980,Wilson Isidor,,17,76986,41,59,360,2026-08-07T08:31:26.871529+00:00
1597668,1881902,Rio Ngumoha,,17,76986,25,75,306,2026-08-07T08:31:28.681991+00:00
823825,871706,Randal Kolo Muani,,17,76986,46,54,699,2026-08-07T08:31:33.580500+00:00
1084981,966547,Noni Madueke,,17,76986,33,67,634,2026-08-07T08:31:36.115327+00:00
1341387,1142679,Wilson Odobert,,17,76986,43,57,483,2026-08-07T08:31:38.574941+00:00
750032,836694,Mason Mount,,17,76986,58,42,565,2026-08-07T08:31:41.242375+00:00
1079557,991478,Amine Adli,,17,76986,48,52,592,2026-08-07T08:31:42.794696+00:00
643717,359664,Taiwo Awoniyi,,17,76986,50,50,206,2026-08-07T08:31:45.142751+00:00
1095432,960441,Charles De Ketelaere,,23,76457,46,54,1265,2026-08-07T08:31:56.082043+00:00
690230,823984,Lautaro Martínez,,23,76457,42,58,988,2026-08-07T08:31:57.832311+00:00
621562,791702,Marcus Thuram,,23,76457,40,60,863,2026-08-07T08:32:03.265561+00:00
1030212,965008,Sebastiano Esposito,,23,76457,58,42,1327,2026-08-07T08:32:05.862648+00:00
364520,253367,Domenico Berardi,,23,76457,51,49,801,2026-08-07T08:32:08.240792+00:00
1185336,979222,Francisco Conceição,,23,76457,38,62,1053,2026-08-07T08:32:10.742586+00:00
724368,830858,Keinan Davis,,23,76457,52,48,782,2026-08-07T08:32:13.501090+00:00
660301,803039,Donyell Malen,,23,76457,33,67,527,2026-08-07T08:32:15.781109+00:00
873270,894863,Anastasios Douvikas,,23,76457,44,56,700,2026-08-07T08:32:18.458168+00:00
1199272,1086417,Rasmus Højlund,,23,76457,42,58,923,2026-08-07T08:32:21.057716+00:00
469615,341143,Giovanni Simeone,,23,76457,50,50,854,2026-08-07T08:32:23.515152+00:00
543306,284363,Federico Bonazzoli,,23,76457,58,42,1056,2026-08-07T08:32:27.906534+00:00
721089,807301,Gianluca Scamacca,,23,76457,45,55,532,2026-08-07T08:32:30.378406+00:00
848844,851284,Rafael Leão,,23,76457,42,58,843,2026-08-07T08:32:32.795916+00:00
750030,826198,Andrea Pinamonti,,23,76457,51,49,772,2026-08-07T08:32:35.300275+00:00
