player_id,player_name,season_name,mode,scope,competition,competition_name,heatmap_key,reason
185389,Magnus Wolff Eikrem,2022/2023,europe,,uecl,UEFA Europa Conference League,185389:17015:42224,snapshot_missing
1185309,Malik Abubakari,2022/2023,europe,,uecl,UEFA Europa Conference League,1185309:17015:42224,snapshot_missing
1168520,Mayckel Lahdo,2022/2023,europe,,uecl,UEFA Europa Conference League,1168520:17015:42224,snapshot_missing
504033,Milan Gajić,2022/2023,europe,,uecl,UEFA Europa Conference League,504033:17015:42224,snapshot_missing
837066,Ola Brynhildsen,2022/2023,europe,,uecl,UEFA Europa Conference League,837066:17015:42224,snapshot_missing
118142,Rasmus Schüller,2022/2023,europe,,uecl,UEFA Europa Conference League,118142:17015:42224,snapshot_missing
570772,Sean Kavanagh,2022/2023,europe,,uecl,UEFA Europa Conference League,570772:17015:42224,snapshot_missing
658222,Victor Edvardsen,2022/2023,europe,,uecl,UEFA Europa Conference League,658222:17015:42224,snapshot_missing
837064,Hugo Vetlesen,2022/2023,europe,,uel,UEFA Europa League,837064:679:44509,snapshot_missing
1176214,Luiz Henrique,2022/2023,europe,,uel,UEFA Europa League,1176214:679:44509,snapshot_missing
530635,Patrick Berg,2022/2023,europe,,uel,UEFA Europa League,530635:679:44509,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,europe,,uel,UEFA Europa League,1089731:679:44509,snapshot_missing
631369,Santeri Hostikka,2022/2023,europe,,uel,UEFA Europa League,631369:679:44509,snapshot_missing
1035208,Victor Okoh Boniface,2022/2023,europe,,uel,UEFA Europa League,1035208:679:44509,snapshot_missing
1061249,Vitinha,2022/2023,europe,,uel,UEFA Europa League,1061249:679:44509,snapshot_missing
547710,Adama Traoré,2022/2023,league,3,all,Premier League,547710:17:41886,snapshot_missing
1655748,Vinícius Souza,2022/2023,league,3,all,LaLiga,1655748:8:42409,snapshot_missing
547710,Adama Traoré,2022/2023,league,5,all,Premier League,547710:17:41886,snapshot_missing
1655748,Vinícius Souza,2022/2023,league,5,all,LaLiga,1655748:8:42409,snapshot_missing
547710,Adama Traoré,2022/2023,league,7,all,Premier League,547710:17:41886,snapshot_missing
388523,André Silva,2022/2023,league,7,all,Primeira Liga,388523:238:42655,snapshot_missing
41171,Marcus Pedersen,2022/2023,league,7,all,Eredivisie,41171:37:42256,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,league,7,all,Primeira Liga,1089731:238:42655,snapshot_missing
1655748,Vinícius Souza,2022/2023,league,7,all,LaLiga,1655748:8:42409,snapshot_missing
547710,Adama Traoré,2022/2023,league,8,all,Premier League,547710:17:41886,snapshot_missing
1650431,Ally Samatta,2022/2023,league,8,all,Belgian Pro League,1650431:38:42404,source_history_unavailable
388523,André Silva,2022/2023,league,8,all,Primeira Liga,388523:238:42655,snapshot_missing
967065,Habib Gueye,2022/2023,league,8,all,Belgian Pro League,967065:38:42404,source_history_unavailable
41171,Marcus Pedersen,2022/2023,league,8,all,Eredivisie,41171:37:42256,snapshot_missing
1089731,Pedro Gonçalves,2022/2023,league,8,all,Primeira Liga,1089731:238:42655,snapshot_missing
1655748,Vinícius Souza,2022/2023,league,8,all,LaLiga,1655748:8:42409,snapshot_missing
495234,Abzal Beysebekov,2023/2024,europe,,all,All European competitions,495234:17015:52327,snapshot_missing
1133381,Albert Grønbæk,2023/2024,europe,,all,All European competitions,1133381:17015:52327,snapshot_missing
313121,Amahl Pellegrino,2023/2024,europe,,all,All European competitions,313121:17015:52327,snapshot_missing
469806,Amor Layouni,2023/2024,europe,,all,All European competitions,469806:679:53654,snapshot_missing
907046,Bojan Radulović,2023/2024,europe,,all,All European competitions,907046:17015:52327,snapshot_missing
1116903,Dembo Darboe,2023/2024,europe,,all,All European competitions,1116903:17015:52327,snapshot_missing
848296,Edward Chilufya,2023/2024,europe,,all,All European competitions,848296:679:53654,snapshot_missing
1389450,Eguinaldo,2023/2024,europe,,all,All European competitions,1389450:679:53654,snapshot_missing
1066269,Elkhan Astanov,2023/2024,europe,,all,All European competitions,1066269:17015:52327,snapshot_missing
952325,Faris Moumbagna,2023/2024,europe,,all,All European competitions,952325:17015:52327,snapshot_missing
952325,Faris Moumbagna,2023/2024,europe,,all,All European competitions,952325:679:53654,snapshot_missing
120432,Fredrik Gulbrandsen,2023/2024,europe,,all,All European competitions,120432:17015:52327,snapshot_missing
635942,Gísli Eyjólfsson,2023/2024,europe,,all,All European competitions,635942:17015:52327,snapshot_missing
837064,Hugo Vetlesen,2023/2024,europe,,all,All European competitions,837064:17015:52327,snapshot_missing
261659,Höskuldur Gunnlaugsson,2023/2024,europe,,all,All European competitions,261659:17015:52327,snapshot_missing
91935,Kristinn Steindorsson,2023/2024,europe,,all,All European competitions,91935:17015:52327,snapshot_missing
974755,Lucas Beltrán,2023/2024,europe,,all,All European competitions,974755:17015:52327,snapshot_missing
574868,Lucas Lingman,2023/2024,europe,,all,All European competitions,574868:17015:52327,snapshot_missing
185389,Magnus Wolff Eikrem,2023/2024,europe,,all,All European competitions,185389:679:53654,snapshot_missing
1174663,Marcos Leonardo,2023/2024,europe,,all,All European competitions,1174663:679:53654,snapshot_missing
88999,Mikkel Rygaard,2023/2024,europe,,all,All European competitions,88999:679:53654,snapshot_missing
1065615,Nino Žugelj,2023/2024,europe,,all,All European competitions,1065615:17015:52327,snapshot_missing
530635,Patrick Berg,2023/2024,europe,,all,All European competitions,530635:17015:52327,snapshot_missing
1089731,Pedro Gonçalves,2023/2024,europe,,all,All European competitions,1089731:679:53654,snapshot_missing
39487,Përparim Hetemaj,2023/2024,europe,,all,All European competitions,39487:17015:52327,snapshot_missing
1350129,Rwan Cruz,2023/2024,europe,,all,All European competitions,1350129:17015:52327,snapshot_missing
1131349,Santiago Hezze,2023/2024,europe,,all,All European competitions,1131349:17015:52327,snapshot_missing
1034990,Takuro Kaneko,2023/2024,europe,,all,All European competitions,1034990:17015:52327,snapshot_missing
1261804,Topi Keskinen,2023/2024,europe,,all,All European competitions,1261804:17015:52327,snapshot_missing
310763,Ulrik Saltnes,2023/2024,europe,,all,All European competitions,310763:17015:52327,snapshot_missing
495418,Árni Frederiksberg,2023/2024,europe,,all,All European competitions,495418:17015:52327,snapshot_missing
495234,Abzal Beysebekov,2023/2024,europe,,uecl,UEFA Europa Conference League,495234:17015:52327,snapshot_missing
1133381,Albert Grønbæk,2023/2024,europe,,uecl,UEFA Europa Conference League,1133381:17015:52327,snapshot_missing
313121,Amahl Pellegrino,2023/2024,europe,,uecl,UEFA Europa Conference League,313121:17015:52327,snapshot_missing
907046,Bojan Radulović,2023/2024,europe,,uecl,UEFA Europa Conference League,907046:17015:52327,snapshot_missing
1116903,Dembo Darboe,2023/2024,europe,,uecl,UEFA Europa Conference League,1116903:17015:52327,snapshot_missing
1066269,Elkhan Astanov,2023/2024,europe,,uecl,UEFA Europa Conference League,1066269:17015:52327,snapshot_missing
952325,Faris Moumbagna,2023/2024,europe,,uecl,UEFA Europa Conference League,952325:17015:52327,snapshot_missing
120432,Fredrik Gulbrandsen,2023/2024,europe,,uecl,UEFA Europa Conference League,120432:17015:52327,snapshot_missing
635942,Gísli Eyjólfsson,2023/2024,europe,,uecl,UEFA Europa Conference League,635942:17015:52327,snapshot_missing
837064,Hugo Vetlesen,2023/2024,europe,,uecl,UEFA Europa Conference League,837064:17015:52327,snapshot_missing
261659,Höskuldur Gunnlaugsson,2023/2024,europe,,uecl,UEFA Europa Conference League,261659:17015:52327,snapshot_missing
91935,Kristinn Steindorsson,2023/2024,europe,,uecl,UEFA Europa Conference League,91935:17015:52327,snapshot_missing
974755,Lucas Beltrán,2023/2024,europe,,uecl,UEFA Europa Conference League,974755:17015:52327,snapshot_missing
574868,Lucas Lingman,2023/2024,europe,,uecl,UEFA Europa Conference League,574868:17015:52327,snapshot_missing
1065615,Nino Žugelj,2023/2024,europe,,uecl,UEFA Europa Conference League,1065615:17015:52327,snapshot_missing
530635,Patrick Berg,2023/2024,europe,,uecl,UEFA Europa Conference League,530635:17015:52327,snapshot_missing
39487,Përparim Hetemaj,2023/2024,europe,,uecl,UEFA Europa Conference League,39487:17015:52327,snapshot_missing
1350129,Rwan Cruz,2023/2024,europe,,uecl,UEFA Europa Conference League,1350129:17015:52327,snapshot_missing
1131349,Santiago Hezze,2023/2024,europe,,uecl,UEFA Europa Conference League,1131349:17015:52327,snapshot_missing
1034990,Takuro Kaneko,2023/2024,europe,,uecl,UEFA Europa Conference League,1034990:17015:52327,snapshot_missing
1261804,Topi Keskinen,2023/2024,europe,,uecl,UEFA Europa Conference League,1261804:17015:52327,snapshot_missing
310763,Ulrik Saltnes,2023/2024,europe,,uecl,UEFA Europa Conference League,310763:17015:52327,snapshot_missing
495418,Árni Frederiksberg,2023/2024,europe,,uecl,UEFA Europa Conference League,495418:17015:52327,snapshot_missing
469806,Amor Layouni,2023/2024,europe,,uel,UEFA Europa League,469806:679:53654,snapshot_missing
848296,Edward Chilufya,2023/2024,europe,,uel,UEFA Europa League,848296:679:53654,snapshot_missing
1389450,Eguinaldo,2023/2024,europe,,uel,UEFA Europa League,1389450:679:53654,snapshot_missing
952325,Faris Moumbagna,2023/2024,europe,,uel,UEFA Europa League,952325:679:53654,snapshot_missing
185389,Magnus Wolff Eikrem,2023/2024,europe,,uel,UEFA Europa League,185389:679:53654,snapshot_missing
1174663,Marcos Leonardo,2023/2024,europe,,uel,UEFA Europa League,1174663:679:53654,snapshot_missing
88999,Mikkel Rygaard,2023/2024,europe,,uel,UEFA Europa League,88999:679:53654,snapshot_missing
1089731,Pedro Gonçalves,2023/2024,europe,,uel,UEFA Europa League,1089731:679:53654,snapshot_missing
1655748,Vinícius Souza,2023/2024,league,3,all,Premier League,1655748:17:52186,snapshot_missing
1655748,Vinícius Souza,2023/2024,league,5,all,Premier League,1655748:17:52186,snapshot_missing
388523,André Silva,2023/2024,league,7,all,Primeira Liga,388523:238:52769,snapshot_missing
1089731,Pedro Gonçalves,2023/2024,league,7,all,Primeira Liga,1089731:238:52769,snapshot_missing
1655748,Vinícius Souza,2023/2024,league,7,all,Premier League,1655748:17:52186,snapshot_missing
388523,André Silva,2023/2024,league,8,all,Primeira Liga,388523:238:52769,snapshot_missing
1089731,Pedro Gonçalves,2023/2024,league,8,all,Primeira Liga,1089731:238:52769,snapshot_missing
1655748,Vinícius Souza,2023/2024,league,8,all,Premier League,1655748:17:52186,snapshot_missing
1062357,Adam Markhiev,2024/2025,europe,,all,All European competitions,1062357:679:61645,snapshot_missing
127209,Anders Christiansen,2024/2025,europe,,all,All European competitions,127209:679:61645,snapshot_missing
615292,Andreas Helmersen,2024/2025,europe,,all,All European competitions,615292:679:61645,snapshot_missing
1044460,Ari Sigurpálsson,2024/2025,europe,,all,All European competitions,1044460:17015:61648,snapshot_missing
1312274,Armandas Kučys,2024/2025,europe,,all,All European competitions,1312274:17015:61648,snapshot_missing
1227813,Atsuki Ito,2024/2025,europe,,all,All European competitions,1227813:17015:61648,snapshot_missing
1311533,August Priske,2024/2025,europe,,all,All European competitions,1311533:17015:61648,snapshot_missing
619365,Besard Sabović,2024/2025,europe,,all,All European competitions,619365:17015:61648,snapshot_missing
909448,Charalampos Charalampous,2024/2025,europe,,all,All European competitions,909448:17015:61648,snapshot_missing
628820,Daniel Stensson,2024/2025,europe,,all,All European competitions,628820:17015:61648,snapshot_missing
635789,Darko Lemajić,2024/2025,europe,,all,All European competitions,635789:679:61645,snapshot_missing
614163,Deniz Hümmet,2024/2025,europe,,all,All European competitions,614163:17015:61648,snapshot_missing
641044,Dylan Watts,2024/2025,europe,,all,All European competitions,641044:17015:61648,snapshot_missing
1705611,Edmilson,2024/2025,europe,,all,All European competitions,1705611:17015:61648,snapshot_missing
962795,Emil Breivik,2024/2025,europe,,all,All European competitions,962795:17015:61648,snapshot_missing
1459656,Erick Marcus,2024/2025,europe,,all,All European competitions,1459656:679:61645,snapshot_missing
741561,Erik Botheim,2024/2025,europe,,all,All European competitions,741561:679:61645,snapshot_missing
1166548,Frederik Ihler,2024/2025,europe,,all,All European competitions,1166548:17015:61648,snapshot_missing
1383059,Gisli Thordarson,2024/2025,europe,,all,All European competitions,1383059:17015:61648,snapshot_missing
301367,Graham Burke,2024/2025,europe,,all,All European competitions,301367:17015:61648,snapshot_missing
1351569,Hugo Bolin,2024/2025,europe,,all,All European competitions,1351569:679:61645,snapshot_missing
632870,Håkon Evjen,2024/2025,europe,,all,All European competitions,632870:679:61645,snapshot_missing
1521239,Hélder Ferreira,2024/2025,europe,,all,All European competitions,1521239:17015:61648,snapshot_missing
741397,Jens Petter Hauge,2024/2025,europe,,all,All European competitions,741397:679:61645,snapshot_missing
1239600,Johnny Kenny,2024/2025,europe,,all,All European competitions,1239600:17015:61648,snapshot_missing
1068590,Joshua Honohan,2024/2025,europe,,all,All European competitions,1068590:17015:61648,snapshot_missing
463803,Jānis Ikaunieks,2024/2025,europe,,all,All European competitions,463803:679:61645,snapshot_missing
558136,Karol Świderski,2024/2025,europe,,all,All European competitions,558136:17015:61648,snapshot_missing
1419540,Lasha Odisharia,2024/2025,europe,,all,All European competitions,1419540:679:61645,snapshot_missing
1035206,Lasse Berg Johnsen,2024/2025,europe,,all,All European competitions,1035206:679:61645,snapshot_missing
363351,Lee Erwin,2024/2025,europe,,all,All European competitions,363351:17015:61648,snapshot_missing
1386775,Lucas Bergvall,2024/2025,europe,,all,All European competitions,1386775:679:61645,snapshot_missing
1185549,Mads Enggård,2024/2025,europe,,all,All European competitions,1185549:17015:61648,snapshot_missing
185389,Magnus Wolff Eikrem,2024/2025,europe,,all,All European competitions,185389:17015:61648,snapshot_missing
856684,Michael Baidoo,2024/2025,europe,,all,All European competitions,856684:679:61645,snapshot_missing
863652,Neil Farrugia,2024/2025,europe,,all,All European competitions,863652:17015:61648,snapshot_missing
837066,Ola Brynhildsen,2024/2025,europe,,all,All European competitions,837066:17015:61648,snapshot_missing
200189,Oliver Berg,2024/2025,europe,,all,All European competitions,200189:679:61645,snapshot_missing
1000834,Oskar Fallenius,2024/2025,europe,,all,All European competitions,1000834:17015:61648,snapshot_missing
848573,Ousseynou Niang,2024/2025,europe,,all,All European competitions,848573:679:61645,snapshot_missing
530635,Patrick Berg,2024/2025,europe,,all,All European competitions,530635:679:61645,snapshot_missing
1089731,Pedro Gonçalves,2024/2025,europe,,all,All European competitions,1089731:7:61644,snapshot_missing
449279,Philip Zinckernagel,2024/2025,europe,,all,All European competitions,449279:679:61645,snapshot_missing
1252132,Promise David,2024/2025,europe,,all,All European competitions,1252132:679:61645,snapshot_missing
427223,Sergio Peña,2024/2025,europe,,all,All European competitions,427223:679:61645,snapshot_missing
315032,Simon Hedlund,2024/2025,europe,,all,All European competitions,315032:679:61645,snapshot_missing
702428,Stefan Panić,2024/2025,europe,,all,All European competitions,702428:679:61645,snapshot_missing
955271,Thiago Almada,2024/2025,europe,,all,All European competitions,955271:679:61645,snapshot_missing
277793,Tokmac Chol Nguen,2024/2025,europe,,all,All European competitions,277793:17015:61648,snapshot_missing
310763,Ulrik Saltnes,2024/2025,europe,,all,All European competitions,310763:679:61645,snapshot_missing
1089731,Pedro Gonçalves,2024/2025,europe,,ucl,UEFA Champions League,1089731:7:61644,snapshot_missing
1044460,Ari Sigurpálsson,2024/2025,europe,,uecl,UEFA Europa Conference League,1044460:17015:61648,snapshot_missing
1312274,Armandas Kučys,2024/2025,europe,,uecl,UEFA Europa Conference League,1312274:17015:61648,snapshot_missing
