fotmob_player_id,player_name,competition_name,season_name,heatmap_key,reason
449279,Philip Zinckernagel,UEFA Europa League,2024/2025,449279:679:61645,snapshot_missing
856684,Michael Baidoo,UEFA Europa League,2024/2025,856684:679:61645,snapshot_missing
1252132,Promise David,UEFA Europa League,2024/2025,1252132:679:61645,snapshot_missing
955271,Thiago Almada,UEFA Europa League,2024/2025,955271:679:61645,snapshot_missing
427223,Sergio Peña,UEFA Europa League,2024/2025,427223:679:61645,snapshot_missing
1351569,Hugo Bolin,UEFA Europa League,2024/2025,1351569:679:61645,snapshot_missing
1035206,Lasse Berg Johnsen,UEFA Europa League,2024/2025,1035206:679:61645,snapshot_missing
200189,Oliver Berg,UEFA Europa League,2024/2025,200189:679:61645,snapshot_missing
1062357,Adam Markhiev,UEFA Europa League,2024/2025,1062357:679:61645,snapshot_missing
1386775,Lucas Bergvall,UEFA Europa League,2024/2025,1386775:679:61645,snapshot_missing
1419540,Lasha Odisharia,UEFA Europa League,2024/2025,1419540:679:61645,snapshot_missing
635789,Darko Lemajić,UEFA Europa League,2024/2025,635789:679:61645,snapshot_missing
702428,Stefan Panić,UEFA Europa League,2024/2025,702428:679:61645,snapshot_missing
127209,Anders Christiansen,UEFA Europa League,2024/2025,127209:679:61645,snapshot_missing
615292,Andreas Helmersen,UEFA Europa League,2024/2025,615292:679:61645,snapshot_missing
1655748,Vinícius Souza,Premier League,2023/2024,1655748:17:52186,snapshot_missing
530635,Patrick Berg,UEFA Europa Conference League,2023/2024,530635:17015:52327,snapshot_missing
1131349,Santiago Hezze,UEFA Europa Conference League,2023/2024,1131349:17015:52327,snapshot_missing
837064,Hugo Vetlesen,UEFA Europa Conference League,2023/2024,837064:17015:52327,snapshot_missing
120432,Fredrik Gulbrandsen,UEFA Europa Conference League,2023/2024,120432:17015:52327,snapshot_missing
1133381,Albert Grønbæk,UEFA Europa Conference League,2023/2024,1133381:17015:52327,snapshot_missing
313121,Amahl Pellegrino,UEFA Europa Conference League,2023/2024,313121:17015:52327,snapshot_missing
952325,Faris Moumbagna,UEFA Europa Conference League,2023/2024,952325:17015:52327,snapshot_missing
907046,Bojan Radulović,UEFA Europa Conference League,2023/2024,907046:17015:52327,snapshot_missing
1350129,Rwan Cruz,UEFA Europa Conference League,2023/2024,1350129:17015:52327,snapshot_missing
495418,Árni Frederiksberg,UEFA Europa Conference League,2023/2024,495418:17015:52327,snapshot_missing
574868,Lucas Lingman,UEFA Europa Conference League,2023/2024,574868:17015:52327,snapshot_missing
310763,Ulrik Saltnes,UEFA Europa Conference League,2023/2024,310763:17015:52327,snapshot_missing
1034990,Takuro Kaneko,UEFA Europa Conference League,2023/2024,1034990:17015:52327,snapshot_missing
39487,Përparim Hetemaj,UEFA Europa Conference League,2023/2024,39487:17015:52327,snapshot_missing
261659,Höskuldur Gunnlaugsson,UEFA Europa Conference League,2023/2024,261659:17015:52327,snapshot_missing
1116903,Dembo Darboe,UEFA Europa Conference League,2023/2024,1116903:17015:52327,snapshot_missing
1261804,Topi Keskinen,UEFA Europa Conference League,2023/2024,1261804:17015:52327,snapshot_missing
91935,Kristinn Steindorsson,UEFA Europa Conference League,2023/2024,91935:17015:52327,snapshot_missing
1066269,Elkhan Astanov,UEFA Europa Conference League,2023/2024,1066269:17015:52327,snapshot_missing
495234,Abzal Beysebekov,UEFA Europa Conference League,2023/2024,495234:17015:52327,snapshot_missing
