playerId,name,season,mode,scope,competition,missingFields,derivableFields,requiredProviderInputs,providerLookupResult,reason,timestamp
387525,Cassiano,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1095432,Charles De Ketelaere,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
67890,Christian Brüls,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
776940,Christian Kouamé,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
267368,Cláudio Winck,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
247761,Conor Coady,2021/2022,league,8,,final_third_possessions_won,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_source_field_absent,2026-08-22T00:00:00+00:00
1080028,Daichi Hayashi,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
637582,Daniel Anjos,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
859282,Daniel Muñoz,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
693675,Dante Vanzeir,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
635789,Darko Lemajic,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
950561,Darwin Núñez,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1138769,David Da Costa,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
453696,Denilson,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
875305,Denis Dragus,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
661519,Deniz Undav,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
822236,Dennis Tørset Johnsen,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
617396,Dereck Kutesa,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1088118,Derik Lacerda,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
318525,Dino Hotic,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
178261,Dorian Dessoleil,2021/2022,league,8,,final_third_possessions_won;cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1022702,Dylan Mbayo,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1114979,Emmanuel Agbadou,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
526450,Emmanuel Quartsin Gyasi,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1098096,Evanilson,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
282007,Fabrício,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
604870,Faïz Selamani,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
1127224,Fer Niño,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
202610,Fidel Chaves,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
671855,Fran Navarro,2021/2022,league,8,,cca_area_pct;danger_zone_density,,,not_attempted_no_verified_sportsapi_raw_duel_schema,static_tactical_session_absent,2026-08-22T00:00:00+00:00
